"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","TOUR_REC_EXP","INT_REC","USD","A","2008",6997.995,
"HUN","TOUR_REC_EXP","INT_REC","USD","A","2009",6650.088,
"HUN","TOUR_REC_EXP","INT_REC","USD","A","2010",6641.1,
"HUN","TOUR_REC_EXP","INT_REC","USD","A","2011",7176.5,
"HUN","TOUR_REC_EXP","INT_REC","USD","A","2012",6154.6,
"HUN","TOUR_REC_EXP","INT_REC","USD","A","2013",6675.4,
"HUN","TOUR_REC_EXP","INT_REC","USD","A","2014",7483.4,
"HUN","TOUR_REC_EXP","INT_REC","USD","A","2015",6934.2,
"HUN","TOUR_REC_EXP","INT_REC","USD","A","2016",7467.6,
"HUN","TOUR_REC_EXP","INT_REC","USD","A","2017",8383.2,
"ISL","TOUR_REC_EXP","INT_REC","USD","A","2008",836.54,
"ISL","TOUR_REC_EXP","INT_REC","USD","A","2009",1257.888,
"ISL","TOUR_REC_EXP","INT_REC","USD","A","2010",1331.972,
"ISL","TOUR_REC_EXP","INT_REC","USD","A","2011",1694.596,
"ISL","TOUR_REC_EXP","INT_REC","USD","A","2012",1914.146,
"ISL","TOUR_REC_EXP","INT_REC","USD","A","2013",2264.2,
"ISL","TOUR_REC_EXP","INT_REC","USD","A","2014",2608.9,
"ISL","TOUR_REC_EXP","INT_REC","USD","A","2015",2801.4,
"ISL","TOUR_REC_EXP","INT_REC","USD","A","2016",3828.6,
"ISL","TOUR_REC_EXP","INT_REC","USD","A","2017",3020.9,
"IRL","TOUR_REC_EXP","INT_REC","USD","A","2008",6279.708,
"IRL","TOUR_REC_EXP","INT_REC","USD","A","2009",8410.167,
"IRL","TOUR_REC_EXP","INT_REC","USD","A","2010",8244.542,
"IRL","TOUR_REC_EXP","INT_REC","USD","A","2011",9466.814,
"IRL","TOUR_REC_EXP","INT_REC","USD","A","2012",9305,
"IRL","TOUR_REC_EXP","INT_REC","USD","A","2013",10177.2,
"IRL","TOUR_REC_EXP","INT_REC","USD","A","2014",11079.5,
"IRL","TOUR_REC_EXP","INT_REC","USD","A","2015",11484.3,
"IRL","TOUR_REC_EXP","INT_REC","USD","A","2016",12605.7,
"IRL","TOUR_REC_EXP","INT_REC","USD","A","2017",14131.3,
"ITA","TOUR_REC_EXP","INT_REC","USD","A","2008",48073.314,
"ITA","TOUR_REC_EXP","INT_REC","USD","A","2009",41638.913,
"ITA","TOUR_REC_EXP","INT_REC","USD","A","2010",40375.2,
"ITA","TOUR_REC_EXP","INT_REC","USD","A","2011",45055.2,
"ITA","TOUR_REC_EXP","INT_REC","USD","A","2012",43270.8,
"ITA","TOUR_REC_EXP","INT_REC","USD","A","2013",46257.7,
"ITA","TOUR_REC_EXP","INT_REC","USD","A","2014",47714,
"ITA","TOUR_REC_EXP","INT_REC","USD","A","2015",41520.5,
"ITA","TOUR_REC_EXP","INT_REC","USD","A","2016",42309.8,
"ITA","TOUR_REC_EXP","INT_REC","USD","A","2017",46134.2,
"JPN","TOUR_REC_EXP","INT_REC","USD","A","2008",13790.6,
"JPN","TOUR_REC_EXP","INT_REC","USD","A","2009",12506.2,
"JPN","TOUR_REC_EXP","INT_REC","USD","A","2010",15334.8,
"JPN","TOUR_REC_EXP","INT_REC","USD","A","2011",12500.1,
"JPN","TOUR_REC_EXP","INT_REC","USD","A","2012",16192.2,
"JPN","TOUR_REC_EXP","INT_REC","USD","A","2013",16904.6,
"JPN","TOUR_REC_EXP","INT_REC","USD","A","2014",20828.9,
"JPN","TOUR_REC_EXP","INT_REC","USD","A","2015",27300.6,
"JPN","TOUR_REC_EXP","INT_REC","USD","A","2016",33355.3,
"JPN","TOUR_REC_EXP","INT_REC","USD","A","2017",34054,
"KOR","TOUR_REC_EXP","INT_REC","USD","A","2008",13455.4,
"KOR","TOUR_REC_EXP","INT_REC","USD","A","2009",13288.7,
"KOR","TOUR_REC_EXP","INT_REC","USD","A","2010",14366.6,
"KOR","TOUR_REC_EXP","INT_REC","USD","A","2011",17417.4,
"KOR","TOUR_REC_EXP","INT_REC","USD","A","2012",18850.4,
"KOR","TOUR_REC_EXP","INT_REC","USD","A","2013",19643.7,
"KOR","TOUR_REC_EXP","INT_REC","USD","A","2014",22703.6,
"KOR","TOUR_REC_EXP","INT_REC","USD","A","2015",19055.7,
"KOR","TOUR_REC_EXP","INT_REC","USD","A","2016",21173.9,
"KOR","TOUR_REC_EXP","INT_REC","USD","A","2017",16999.3,
"LUX","TOUR_REC_EXP","INT_REC","USD","A","2008",4886.366,
"LUX","TOUR_REC_EXP","INT_REC","USD","A","2009",4484.172,
"LUX","TOUR_REC_EXP","INT_REC","USD","A","2010",4518.9,
"LUX","TOUR_REC_EXP","INT_REC","USD","A","2011",5357.6,
"LUX","TOUR_REC_EXP","INT_REC","USD","A","2012",5380.9,
"LUX","TOUR_REC_EXP","INT_REC","USD","A","2013",5628.3,
"LUX","TOUR_REC_EXP","INT_REC","USD","A","2014",6026,
"LUX","TOUR_REC_EXP","INT_REC","USD","A","2015",4760.2,
"LUX","TOUR_REC_EXP","INT_REC","USD","A","2016",4763,
"LUX","TOUR_REC_EXP","INT_REC","USD","A","2017",4979.6,
"MEX","TOUR_REC_EXP","INT_REC","USD","A","2008",14725.8,
"MEX","TOUR_REC_EXP","INT_REC","USD","A","2009",12542,
"MEX","TOUR_REC_EXP","INT_REC","USD","A","2010",12627.8,
"MEX","TOUR_REC_EXP","INT_REC","USD","A","2011",12457.4,
"MEX","TOUR_REC_EXP","INT_REC","USD","A","2012",13319.9,
"MEX","TOUR_REC_EXP","INT_REC","USD","A","2013",14311,
"MEX","TOUR_REC_EXP","INT_REC","USD","A","2014",16606.9,
"MEX","TOUR_REC_EXP","INT_REC","USD","A","2015",18728.2,
"MEX","TOUR_REC_EXP","INT_REC","USD","A","2016",20619.2,
"MEX","TOUR_REC_EXP","INT_REC","USD","A","2017",22463.6,
"NLD","TOUR_REC_EXP","INT_REC","USD","A","2008",18639.9,
"NLD","TOUR_REC_EXP","INT_REC","USD","A","2009",16187.2,
"NLD","TOUR_REC_EXP","INT_REC","USD","A","2010",16794.7,
"NLD","TOUR_REC_EXP","INT_REC","USD","A","2011",18241.8,
"NLD","TOUR_REC_EXP","INT_REC","USD","A","2012",17675.1,
"NLD","TOUR_REC_EXP","INT_REC","USD","A","2013",19429.3,
"NLD","TOUR_REC_EXP","INT_REC","USD","A","2014",22190.7,
"NLD","TOUR_REC_EXP","INT_REC","USD","A","2015",20305.3,
"NLD","TOUR_REC_EXP","INT_REC","USD","A","2016",21137.8,
"NLD","TOUR_REC_EXP","INT_REC","USD","A","2017",23357.4,
"NZL","TOUR_REC_EXP","INT_REC","USD","A","2008",7933.4,
"NZL","TOUR_REC_EXP","INT_REC","USD","A","2009",7054.3,
"NZL","TOUR_REC_EXP","INT_REC","USD","A","2010",7571.5,
"NZL","TOUR_REC_EXP","INT_REC","USD","A","2011",8547.8,
"NZL","TOUR_REC_EXP","INT_REC","USD","A","2012",8338.4,
"NZL","TOUR_REC_EXP","INT_REC","USD","A","2013",8683.7,
"NZL","TOUR_REC_EXP","INT_REC","USD","A","2014",9695.3,
"NZL","TOUR_REC_EXP","INT_REC","USD","A","2015",10139,
"NZL","TOUR_REC_EXP","INT_REC","USD","A","2016",10635.3,
"NZL","TOUR_REC_EXP","INT_REC","USD","A","2017",10284.7,
"NOR","TOUR_REC_EXP","INT_REC","USD","A","2008",4770.9,
"NOR","TOUR_REC_EXP","INT_REC","USD","A","2009",4154.4,
"NOR","TOUR_REC_EXP","INT_REC","USD","A","2010",4706.9,
"NOR","TOUR_REC_EXP","INT_REC","USD","A","2011",5307.6,
"NOR","TOUR_REC_EXP","INT_REC","USD","A","2012",5442,
"NOR","TOUR_REC_EXP","INT_REC","USD","A","2013",5642,
"NOR","TOUR_REC_EXP","INT_REC","USD","A","2014",5574.9,
"NOR","TOUR_REC_EXP","INT_REC","USD","A","2015",4873,
"NOR","TOUR_REC_EXP","INT_REC","USD","A","2016",5204.1,
"POL","TOUR_REC_EXP","INT_REC","USD","A","2008",12711.476,
"POL","TOUR_REC_EXP","INT_REC","USD","A","2009",9735.141,
"POL","TOUR_REC_EXP","INT_REC","USD","A","2010",10092.3,
"POL","TOUR_REC_EXP","INT_REC","USD","A","2011",11586.5,
"POL","TOUR_REC_EXP","INT_REC","USD","A","2012",11913.9,
"POL","TOUR_REC_EXP","INT_REC","USD","A","2013",12452.9,
"POL","TOUR_REC_EXP","INT_REC","USD","A","2014",12897.4,
"POL","TOUR_REC_EXP","INT_REC","USD","A","2015",11346.4,
"POL","TOUR_REC_EXP","INT_REC","USD","A","2016",12033.2,
"POL","TOUR_REC_EXP","INT_REC","USD","A","2017",13999.2,
"PRT","TOUR_REC_EXP","INT_REC","USD","A","2008",13949.258,
"PRT","TOUR_REC_EXP","INT_REC","USD","A","2009",12210.135,
"PRT","TOUR_REC_EXP","INT_REC","USD","A","2010",13050.8,
"PRT","TOUR_REC_EXP","INT_REC","USD","A","2011",14843.8,
"PRT","TOUR_REC_EXP","INT_REC","USD","A","2012",14642.3,
"PRT","TOUR_REC_EXP","INT_REC","USD","A","2013",16211.7,
"PRT","TOUR_REC_EXP","INT_REC","USD","A","2014",17722.5,
"PRT","TOUR_REC_EXP","INT_REC","USD","A","2015",15829.7,
"PRT","TOUR_REC_EXP","INT_REC","USD","A","2016",17158.6,
"PRT","TOUR_REC_EXP","INT_REC","USD","A","2017",20889.3,
"SVK","TOUR_REC_EXP","INT_REC","USD","A","2008",2989.323,
"SVK","TOUR_REC_EXP","INT_REC","USD","A","2009",2528.278,
"SVK","TOUR_REC_EXP","INT_REC","USD","A","2010",2339.324,
"SVK","TOUR_REC_EXP","INT_REC","USD","A","2011",2509.528,
"SVK","TOUR_REC_EXP","INT_REC","USD","A","2012",2371.728,
"SVK","TOUR_REC_EXP","INT_REC","USD","A","2013",2606.8,
"SVK","TOUR_REC_EXP","INT_REC","USD","A","2014",2553.2,
"SVK","TOUR_REC_EXP","INT_REC","USD","A","2015",2482.9,
"SVK","TOUR_REC_EXP","INT_REC","USD","A","2016",2807.6,
"SVK","TOUR_REC_EXP","INT_REC","USD","A","2017",3002.9,
"ESP","TOUR_REC_EXP","INT_REC","USD","A","2008",69759.402,
"ESP","TOUR_REC_EXP","INT_REC","USD","A","2009",59315.712,
"ESP","TOUR_REC_EXP","INT_REC","USD","A","2010",61413.535,
"ESP","TOUR_REC_EXP","INT_REC","USD","A","2011",69697.178,
"ESP","TOUR_REC_EXP","INT_REC","USD","A","2012",65685.964,
"ESP","TOUR_REC_EXP","INT_REC","USD","A","2013",62621.6,
"ESP","TOUR_REC_EXP","INT_REC","USD","A","2014",65023.2,
"ESP","TOUR_REC_EXP","INT_REC","USD","A","2015",56549.1,
"ESP","TOUR_REC_EXP","INT_REC","USD","A","2016",60462.3,
"ESP","TOUR_REC_EXP","INT_REC","USD","A","2017",67943.7,
"SWE","TOUR_REC_EXP","INT_REC","USD","A","2008",11871.464,
"SWE","TOUR_REC_EXP","INT_REC","USD","A","2009",10007.29,
"SWE","TOUR_REC_EXP","INT_REC","USD","A","2010",10820.5,
"SWE","TOUR_REC_EXP","INT_REC","USD","A","2011",12688.5,
"SWE","TOUR_REC_EXP","INT_REC","USD","A","2012",12430.7,
"SWE","TOUR_REC_EXP","INT_REC","USD","A","2013",13514.7,
"SWE","TOUR_REC_EXP","INT_REC","USD","A","2014",14124.3,
"SWE","TOUR_REC_EXP","INT_REC","USD","A","2015",13245.5,
"SWE","TOUR_REC_EXP","INT_REC","USD","A","2016",14851.6,
"SWE","TOUR_REC_EXP","INT_REC","USD","A","2017",16386.9,
"CHE","TOUR_REC_EXP","INT_REC","USD","A","2008",17596.9,
"CHE","TOUR_REC_EXP","INT_REC","USD","A","2009",16667.3,
"CHE","TOUR_REC_EXP","INT_REC","USD","A","2010",17614.1,
"CHE","TOUR_REC_EXP","INT_REC","USD","A","2011",20658.4,
"CHE","TOUR_REC_EXP","INT_REC","USD","A","2012",19594.1,
"CHE","TOUR_REC_EXP","INT_REC","USD","A","2013",20344.7,
"CHE","TOUR_REC_EXP","INT_REC","USD","A","2014",21380.4,
"CHE","TOUR_REC_EXP","INT_REC","USD","A","2015",19572.3,
"CHE","TOUR_REC_EXP","INT_REC","USD","A","2016",19198.4,
"CHE","TOUR_REC_EXP","INT_REC","USD","A","2017",17019,
"TUR","TOUR_REC_EXP","INT_REC","USD","A","2008",26446,
"TUR","TOUR_REC_EXP","INT_REC","USD","A","2009",26331,
"TUR","TOUR_REC_EXP","INT_REC","USD","A","2010",26372,
"TUR","TOUR_REC_EXP","INT_REC","USD","A","2011",30381.7,
"TUR","TOUR_REC_EXP","INT_REC","USD","A","2012",31646.3,
"TUR","TOUR_REC_EXP","INT_REC","USD","A","2013",36266.2,
"TUR","TOUR_REC_EXP","INT_REC","USD","A","2014",38754.3,
"TUR","TOUR_REC_EXP","INT_REC","USD","A","2015",35502.2,
"TUR","TOUR_REC_EXP","INT_REC","USD","A","2016",26698.2,
"TUR","TOUR_REC_EXP","INT_REC","USD","A","2017",22183.8,
"GBR","TOUR_REC_EXP","INT_REC","USD","A","2008",47637,
"GBR","TOUR_REC_EXP","INT_REC","USD","A","2009",38608.7,
"GBR","TOUR_REC_EXP","INT_REC","USD","A","2010",41474.3,
"GBR","TOUR_REC_EXP","INT_REC","USD","A","2011",47075.1,
"GBR","TOUR_REC_EXP","INT_REC","USD","A","2012",51002.3,
"GBR","TOUR_REC_EXP","INT_REC","USD","A","2013",56385.3,
"GBR","TOUR_REC_EXP","INT_REC","USD","A","2014",62938.6,
"GBR","TOUR_REC_EXP","INT_REC","USD","A","2015",65363.9,
"GBR","TOUR_REC_EXP","INT_REC","USD","A","2016",62005.9,
"GBR","TOUR_REC_EXP","INT_REC","USD","A","2017",51231.5,
"USA","TOUR_REC_EXP","INT_REC","USD","A","2008",164718,
"USA","TOUR_REC_EXP","INT_REC","USD","A","2009",146005,
"USA","TOUR_REC_EXP","INT_REC","USD","A","2010",167997,
"USA","TOUR_REC_EXP","INT_REC","USD","A","2011",187630,
"USA","TOUR_REC_EXP","INT_REC","USD","A","2012",200996,
"USA","TOUR_REC_EXP","INT_REC","USD","A","2013",218497,
"USA","TOUR_REC_EXP","INT_REC","USD","A","2014",235989,
"USA","TOUR_REC_EXP","INT_REC","USD","A","2015",249183,
"USA","TOUR_REC_EXP","INT_REC","USD","A","2016",246173,
"USA","TOUR_REC_EXP","INT_REC","USD","A","2017",251360,
"BRA","TOUR_REC_EXP","INT_REC","USD","A","2008",6109.375,
"BRA","TOUR_REC_EXP","INT_REC","USD","A","2009",5634.802,
"BRA","TOUR_REC_EXP","INT_REC","USD","A","2010",5521.89,
"BRA","TOUR_REC_EXP","INT_REC","USD","A","2011",6369.69,
"BRA","TOUR_REC_EXP","INT_REC","USD","A","2012",6623.421,
"BRA","TOUR_REC_EXP","INT_REC","USD","A","2013",6783.68,
"BRA","TOUR_REC_EXP","INT_REC","USD","A","2014",7404.353,
"BRA","TOUR_REC_EXP","INT_REC","USD","A","2015",6254.327,
"BRA","TOUR_REC_EXP","INT_REC","USD","A","2016",6023.799,
"BRA","TOUR_REC_EXP","INT_REC","USD","A","2017",5809.214,
"BGR","TOUR_REC_EXP","INT_REC","USD","A","2008",4646.888,
"BGR","TOUR_REC_EXP","INT_REC","USD","A","2009",4113.432,
"BGR","TOUR_REC_EXP","INT_REC","USD","A","2010",3883.297,
"BGR","TOUR_REC_EXP","INT_REC","USD","A","2011",4235.3,
"BGR","TOUR_REC_EXP","INT_REC","USD","A","2012",4043.182,
"BGR","TOUR_REC_EXP","INT_REC","USD","A","2013",4419.354,
"BGR","TOUR_REC_EXP","INT_REC","USD","A","2014",4494.341,
"BGR","TOUR_REC_EXP","INT_REC","USD","A","2015",3574.179,
"BGR","TOUR_REC_EXP","INT_REC","USD","A","2016",3633.631,
"BGR","TOUR_REC_EXP","INT_REC","USD","A","2017",4086.696,
"CHL","TOUR_REC_EXP","INT_REC","USD","A","2008",2481,
"CHL","TOUR_REC_EXP","INT_REC","USD","A","2009",2379.9,
"CHL","TOUR_REC_EXP","INT_REC","USD","A","2010",2362.2,
"CHL","TOUR_REC_EXP","INT_REC","USD","A","2011",2722.3,
"CHL","TOUR_REC_EXP","INT_REC","USD","A","2012",3158.7,
"CHL","TOUR_REC_EXP","INT_REC","USD","A","2013",3170.7,
"CHL","TOUR_REC_EXP","INT_REC","USD","A","2014",3202,
"CHL","TOUR_REC_EXP","INT_REC","USD","A","2015",3412.9,
"CHL","TOUR_REC_EXP","INT_REC","USD","A","2016",3723.7,
"CHL","TOUR_REC_EXP","INT_REC","USD","A","2017",4604.6,
"COL","TOUR_REC_EXP","INT_REC","USD","A","2008",2935.9,
"COL","TOUR_REC_EXP","INT_REC","USD","A","2009",3049.7,
"COL","TOUR_REC_EXP","INT_REC","USD","A","2010",3440.2,
"COL","TOUR_REC_EXP","INT_REC","USD","A","2011",3801.3,
"COL","TOUR_REC_EXP","INT_REC","USD","A","2012",4363.6,
"COL","TOUR_REC_EXP","INT_REC","USD","A","2013",4758.3,
"COL","TOUR_REC_EXP","INT_REC","USD","A","2014",4887.1,
"COL","TOUR_REC_EXP","INT_REC","USD","A","2015",5235.8,
"COL","TOUR_REC_EXP","INT_REC","USD","A","2016",5490.5,
"COL","TOUR_REC_EXP","INT_REC","USD","A","2017",5787.7,
"CRI","TOUR_REC_EXP","INT_REC","USD","A","2008",2811.9,
"CRI","TOUR_REC_EXP","INT_REC","USD","A","2009",2215.8,
"CRI","TOUR_REC_EXP","INT_REC","USD","A","2010",2426.4,
"CRI","TOUR_REC_EXP","INT_REC","USD","A","2011",2645.7,
"CRI","TOUR_REC_EXP","INT_REC","USD","A","2012",2772.7,
"CRI","TOUR_REC_EXP","INT_REC","USD","A","2013",3170.9,
"CRI","TOUR_REC_EXP","INT_REC","USD","A","2014",3137.2,
"CRI","TOUR_REC_EXP","INT_REC","USD","A","2015",3388,
"CRI","TOUR_REC_EXP","INT_REC","USD","A","2016",3878.8,
"HRV","TOUR_REC_EXP","INT_REC","USD","A","2008",11614.512,
"HRV","TOUR_REC_EXP","INT_REC","USD","A","2009",9300.133,
"HRV","TOUR_REC_EXP","INT_REC","USD","A","2010",8426.068,
"HRV","TOUR_REC_EXP","INT_REC","USD","A","2011",9430.387,
"HRV","TOUR_REC_EXP","INT_REC","USD","A","2012",9019.678,
"HRV","TOUR_REC_EXP","INT_REC","USD","A","2013",9720.872,
"HRV","TOUR_REC_EXP","INT_REC","USD","A","2014",10020.053,
"HRV","TOUR_REC_EXP","INT_REC","USD","A","2015",8981.064,
"HRV","TOUR_REC_EXP","INT_REC","USD","A","2016",9512.05,
"HRV","TOUR_REC_EXP","INT_REC","USD","A","2017",10817.433,
"EGY","TOUR_REC_EXP","INT_REC","USD","A","2008",12103.8,
"EGY","TOUR_REC_EXP","INT_REC","USD","A","2009",11756.9,
"EGY","TOUR_REC_EXP","INT_REC","USD","A","2010",13633.1,
"EGY","TOUR_REC_EXP","INT_REC","USD","A","2011",9333.2,
"EGY","TOUR_REC_EXP","INT_REC","USD","A","2012",10822.7,
"EGY","TOUR_REC_EXP","INT_REC","USD","A","2013",6746.7,
"EGY","TOUR_REC_EXP","INT_REC","USD","A","2014",7978.1,
"EGY","TOUR_REC_EXP","INT_REC","USD","A","2015",6896.8,
"EGY","TOUR_REC_EXP","INT_REC","USD","A","2016",2644.9,
"EGY","TOUR_REC_EXP","INT_REC","USD","A","2017",7774.9,
"EST","TOUR_REC_EXP","INT_REC","USD","A","2008",1626.533,
"EST","TOUR_REC_EXP","INT_REC","USD","A","2009",1437.408,
"EST","TOUR_REC_EXP","INT_REC","USD","A","2010",1421.3,
"EST","TOUR_REC_EXP","INT_REC","USD","A","2011",1673.7,
"EST","TOUR_REC_EXP","INT_REC","USD","A","2012",1593.8,
"EST","TOUR_REC_EXP","INT_REC","USD","A","2013",2023.4,
"EST","TOUR_REC_EXP","INT_REC","USD","A","2014",2273.4,
"EST","TOUR_REC_EXP","INT_REC","USD","A","2015",1885.6,
"EST","TOUR_REC_EXP","INT_REC","USD","A","2016",1937.1,
