,CITY,STABBR,SAT_AVG,INSTNM,ADM_RATE,MTHCMP1,TUITIONFEE_IN
3784,Belfry,KY,,Appalachian Beauty School,,15.0,
3785,Mount Hope,WV,1096.0,Appalachian Bible College,0.5895,,14290.0
3786,Glen Dale,WV,,B M Spurr School of Practical Nursing,0.5,12.0,
3787,Dunbar,WV,,Ben Franklin Career Center,,,5017.0
3788,Bethany,WV,1012.0,Bethany College,0.9404,,28454.0
3789,Bluefield,WV,994.0,Bluefield State College,0.8146,,6728.0
3790,Huntington,WV,,Cabell County Career Technology Center,,9.0,
3791,Charleston,WV,,Charleston School of Beauty Culture,,13.0,
3792,Charleston,WV,1014.0,University of Charleston,0.6449,,30400.0
3793,Clarksburg,WV,,Clarksburg Beauty Academy and School of Massage Therapy,,13.0,
3794,Athens,WV,1038.0,Concord University,0.9019,,7732.0
3795,Elkins,WV,1007.0,Davis & Elkins College,0.4161,,28992.0
3796,Fairmont,WV,1044.0,Fairmont State University,0.7061,,6950.0
3797,Glenville,WV,,Glenville State College,,,7342.0
3798,Huntington,WV,,Huntington Junior College,,,8100.0
3799,Martinsburg,WV,,James Rumsey Technical Institute,,10.0,
3800,Stollings,WV,,Ralph R Willis Career and Technical Center,,12.0,
3801,Huntington,WV,1099.0,Marshall University,0.9019,,7798.0
3802,Princeton,WV,,Mercer County Technical Education Center,,12.0,
3803,Waverly,WV,,Meredith Manor International Equestrian Center,,,22086.0
3804,Morgantown,WV,,Monongalia County Technical Education Center,0.4667,13.0,
3805,Morgantown,WV,,Morgantown Beauty College Inc,,12.0,
3806,Parkersburg,WV,,Mountain State College,,,8215.0
3807,Fairmont,WV,,Opportunities Industrialization Center,,8.0,
3808,Vienna,WV,1043.0,Ohio Valley University,0.2859,,21250.0
3809,Parkersburg,WV,,West Virginia University at Parkersburg,,,3552.0
3810,Keyser,WV,,Potomac State College of West Virginia University,,,4248.0
3811,Beckley,WV,,Academy of Careers and Technology,,22.0,
3812,Salem,WV,,Salem University,,,16700.0
